epoch,acc,loss,val_acc,val_loss
0,0.5957446694374084,2.0480310916900635,0.6428571343421936,0.9917183518409729
1,0.5446808338165283,2.046133279800415,0.3928571343421936,1.018506646156311
2,0.5617021322250366,nan,0.625,nan
3,0.6127659678459167,nan,0.625,nan
4,0.6127659678459167,nan,0.625,nan
5,0.6127659678459167,nan,0.625,nan
0,0.4553191363811493,nan,0.375,nan
1,0.38723403215408325,nan,0.375,nan
2,0.38723403215408325,nan,0.375,nan
3,0.38723403215408325,nan,0.375,nan
4,0.38723403215408325,nan,0.375,nan
5,0.38723403215408325,nan,0.375,nan
